,0,1,2
0,Figure 503-1,General fate of N (A) and how adopting processes to reduce erosion and runoff increases nitrogen leaching losses (B),503-7
1,Figure 503-2,General fate of P (A) and how adopting processes to reduce erosion and runoff increases nitrogen leaching losses (B),503-8
2,Figure 503-3,Nutrient flows in modern animal agriculture,503-9
3,Figure 503-4,Nutrient cycles on cash crop farms,503-10
4,Figure 503-5,Nutrient cycles on a modern crop and livestock farm,503-11
5,Figure 503-6,Intensive animal production farm with limited crop production,503-12
6,Figure 503-7,The nutrient management process,503-13
7,Figure 503-8,Relationship between soil pH and nutrient availability,503-21
8,Figure 503-9,"Relationship between residual, exchangeable, and active acidity in soils",503-25
9,Figure 503-10,The nitrogen cycle,503-27
10,Figure 503-11,Forms of soil nitrogen,503-29
11,Figure 503-12,Nitrogen immobilization and mineralization after material with a high C:N ratio is added to soil,503-29
12,Figure 503-13,The phosphorus cycle,503-31
13,Figure 503-14,Phosphorus content of the soil solution,503-32
14,Figure 503-15,Effect of pH on P availability to plants,503-32
15,Figure 503-16,The K cycle,503-33
16,Figure 503-17,The sulfur cycle,503-35
17,Figure 503-18,Partial nitrogen cycle showing the forms and transformations of nitrogen in manure,503-56
18,Figure 503-19,The NH 3 /NH 4 + (ammonia to ammonium) ratio as a function of pH,503-57
