,State,---------- Non-irrigated ---------------------.Year 1,---------- Non-irrigated ---------------------.Year 2,---------- Non-irrigated ---------------------.Year 3,---------- Non-irrigated ---------------------.Year 4,Year 1,Irrigated -----------.Year 2,Irrigated -----------.Year 3,Year 4
0,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------
1,PA,0.42,0.14,0.14,0.07,0.42,0.21,0.14,0.07
2,DE,0.42,0.14,0.14,0.07,0.42,0.21,0.14,0.07
3,MD,0.42,0.14,0.14,0.07,0.42,0.21,0.14,0.07
4,WV,0.42,0.14,0.14,0.07,0.42,0.21,0.14,0.07
5,VA,0.42,0.14,0.14,0.07,0.50,0.21,0.14,0.07
6,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------
7,PA,0.30,0.10,0.10,0.05,0.30,0.15,0.10,0.05
8,DE,0.30,0.10,0.10,0.05,0.30,0.15,0.10,0.05
9,MD,0.30,0.10,0.10,0.05,0.30,0.15,0.10,0.05
10,VA,0.30,0.10,0.10,0.05,0.35,0.15,0.10,0.05
11,WV,0.30,0.10,0.10,0.05,0.30,0.15,0.10,
