,Crop,Depth (ft),Crop,Depth (ft),Crop,Depth (ft),Crop,Depth (ft)
0,Alfalfa,5,"Clover, Ladino",2-3,Milo,2-4,Sudan grass,3-4
1,Asparagus,5,Cranberries,1,Mustard,2,Sugar beets,4-5
2,Bananas,5,"Corn, sweet",2-3,Onions,1-2,Sugarcane,4-5
3,"Beans, dry",2-3,"Corn, grain",3-4,Parsnips,2-3,Sunflower,4-5
4,"Beans, green",2-3,"Corn, seed",3-4,Peanuts,2-3,Tobacco,3-4
5,"Beets, table",2-3,"Corn, silage",3-4,Peas,2-3,Tomato,3
6,Broccoli,2,Cotton,4-5,Peppers,1-2,Turnips,2-3
7,"Berries, blue",4-5,Cucumber,1-2,"Potatoes, Irish",2-3,Watermelon,3-4
8,"Berries, cane",4-5,Eggplant,2,"Potatoes, sweet",2-3,Wheat,4
9,Brussels sprouts,2,Garlic,1-2,Pumpkins,3-4,Trees,
10,Cabbage,2,Grains & flax,3-4,Radishes,1,,
11,Cantaloupes,3,Grapes,5,Safflower,4,Fruit,4-5
12,Carrots,2,Grass pasture/hay,2-4,Sorghum,4,Citrus,3-4
13,Cauliflower,2,Grass seed,3-4,Spinach,1-2,Nut,4-5
14,Celery,1-2,Lettuce,1-2,Squash,3-4,,
15,Chard,1-2,Melons,2-3,Strawberries,1-2,,
