,Figure 503-20,Forms and degree of nitrogen availability in manure,503-60
0,Figure 503-21,Typical ammonia loss after surface application of dairy manure,503-60
1,Figure 503-22,Variation in P across the row and with depth in a long-term conventional till corn field,503-79
2,Figure 503-23,Variation in P across the row and with depth in a corn field in long-term conservation tillage,503-80
3,Figure 503-24,Variation in pH across the row and with depth in a long term no-till corn field,503-80
4,Figure 503-25,Soil pH vs. time for a no-till soil limed at 6000 lb/a every third year,503-80
5,Figure 503-26,Example of a random sampling pattern in a field,503-81
6,Figure 503-27,Example of a systematic or grid sampling pattern in a field,503-82
7,Figure 503-28,Example of a soil fertility map,503-82
8,Figure 503-29,Example of systematically dividing a field for soil sampling on the basis of known or suspected variability,503-82
9,Figure 503-30,Illustration of how different soil test extractants might extract different fractions of the nutrient in the soil,503-83
10,Figure 503-31,Example relationship between yield and soil test level,503-85
11,Figure 503-32,Example of a bar chart for displaying the soil test interpretation on a soil test report,503-86
12,Figure 503-33,Example of soil test calibration for P based on environmental impact,503-87
13,Figure 503-34,Illustration of how fertilizer recommendations are developed,503-87
