,Figure 503-35,Illustration of the relationship between soil test level and nutrient recommendations,503-88
0,Figure 503-36,Relative levels of nitrate-N versus corn N uptake soil in corn fields with different manage- ment systems,503-89
1,Figure 503-37,"Pre-sidedress Soil Nitrate Test calibration data from Pennsylvania, Maryland, and Delaware combined",503-90
2,Figure 503-38,Chlorophyll meter nitrogen test,503-91
3,Figure 503-39,Critical source areas are locations where a high source of P coincides with high potential for transport of the P,503-93
4,Figure 503-40,The Pennsylvania Phosphorus Index,503-94
5,Figure 503-41,Relationship between plant response (yield) and plant analysis level,503-96
6,Figure 503-42,Simple nitrogen cycle,503-102
7,Figure 503-43,Simple P cycle,503-103
8,Figure 503-44,Counting residue pieces along a line transect,503-128
9,Figure 503-45,Relationship of residue weight to percent residue cover for various crops,503-128
