,0,1,2,3
0,Tables,Table 503-1,Example of nutrient balance (P 2 O 5 ) on a cash-crop farm in Pennsylvania,503-10
1,,Table 503-2,Example of nutrient balance on a dairy farm in Pennsylvania,503-11
2,,Table 503-3,Example of nutrient balance on a poultry layer farm in Pennsylvania,503-11
3,,Table 503-4,On-farm criteria that can be used to estimate nitrogen balance,503-13
4,,Table 503-5,Selecting management options depending on nutrient balance from the nutrient balance assessment,503-15
5,,Table 503-6,Nutrient planning steps,503-16
6,,Table 503-7,Nutrient management plan manure application,503-16
7,,Table 503-8,"Eighteen essential elements for plant growth, and the chemical forms most commonly taken up by plants",503-17
8,,Table 503-9,"Essential elements, their relative uptake, and sources where they are obtained by plants",503-18
9,,Table 503-10,Functions of essential elements in plants,503-18
10,,Table 503-11,Terminology used to describe deficiency symptoms,503-20
11,,Table 503-12,Mobility and specific deficiency symptoms,503-20
12,,Table 503-13,Nutrient removal by selected hay crops,503-23
13,,Table 503-14,Nutrient removal by selected field crops,503-23
14,,Table 503-15,Nutrient removal by selected fruit and vegetable crops,503-24
15,,Table 503-16,"Example residual nitrogen credits provided by legumes, by Mid-Atlantic State sources: Pennsylvania: Pennsylvania Agronomy Guide, 2005-2006, 2005; Maryland: Maryland Nutrient Management Manual, 2005; Delaware: Sims and Gartley, 1996; Virginia/West Virginia: Virginia Division of Conservation and Recreation, 2005",503-28
