,Table 503-17,"Sulfur, Ca, and Mg fertilizer materials",503-44
0,Table 503-18,Micronutrient fertilizer materials,503-45
1,Table 503-19,Annual manure production estimates for various species,503-51
2,Table 503-20,Nutrient content of various types of manure,503-51
3,Table 503-21,"Poultry litter moisture and nutrient values from 2,054 samples in Arkansas",503-51
4,Table 503-22,Typical content of secondary and micronutrients in poultry manures,503-52
5,Table 503-23,Typical content of secondary and micronutrients in swine manures,503-52
6,Table 503-24,Typical manure losses during handling and storage,503-54
7,Table 503-25,"Estimating annual nutrient availability after losses from open lot, storage or lagoon",503-55
8,Table 503-26,Average percentage of forms of nitrogen in different types of manure in Virginia,503-56
9,Table 503-27,Fraction of organic nitrogen mineralized from various manure types and application scenarios in the year of application,503-56
10,Table 503-28,Manure ammonium-N availability factors for Virginia,503-57
11,Table 503-29,Application rate in tons per acre (T/A) for four common tarp sizes,503-58
12,Table 503-30,Diseases and organisms transmittable to humans by animals,503-62
13,Table 503-31,Description of various wastewater and biosolids treatment processes and methods and their effects on land application practices,503-64
14,Table 503-32,Means and variability of nutrient concentrations in biosolids collected and analyzed in Pennsylvania between 1993 and 1997,503-65
