,Contents,Subpart 500A,Authority,Authority,500-1
0,,,500.00,Description of authorities ...................................................................500-1,
1,,,500.01,Purpose of the National Agronomy Manual .....................................500-1,
2,,Subpart 500B,Agronomic policies,Agronomic policies,500-1
3,,,500.10,Location of policy.................................................................................500-1,
4,,,500.11,Amendments to NAM...........................................................................500-1,
5,,Subpart 500C,Responsibilities of agronomists,Responsibilities of agronomists,500-2
6,,,500.20,"Responsibilities of national, State, area, and field agronomists ....500-2",
7,,,500.21,"Technical information-preparing, transferring, and training.......500-2",
8,,,500.22,Certification ..........................................................................................500-3,
9,,,500.23,Affiliation with professional organizations.......................................500-3,
