,Crop.,Yield.----------------------pounds,N.----------------------pounds,P.----------------------pounds,K.----------------------pounds,Ca.----------------------pounds,Mg.----------------------pounds,S.----------------------pounds,Cu.----------------------pounds,Mn.----------------------pounds,Zn.----------------------pounds
0,Barley (grain),60 bu,65,14,24,2,6,8,0.04,0.03,0.08
1,Barley (straw),2 tons,30,10,80,8,2,4,0.01,0.32,0.05
2,Corn (grain),200 bu,150,40,40,6,18,15,0.08,0.10,0.18
3,Corn (stover),6 tons,110,12,160,16,36,16,0.05,1.50,0.30
4,Cotton(seed+lint),1.3 tons,63,25,31,4,7,5,0.18,0.33,0.96
5,Cotton (stalk+leaf),1.5 tons,57,16,72,56,16,15,0.05,0.06,0.75
6,Oats (grain),80 bu,60,10,15,2,4,6,0.03,0.12,0.05
7,Oats (straw),2 tons,35,8,90,8,12,9,0.03,-,0.29
8,Peanuts (nuts),2 tons,140,22,35,6,5,10,0.04,0.30,0.25
9,Peanuts (vines),2.5 tons,100,17,150,88,20,11,0.12,0.15,-
10,Rye (grain),30 bu,35,10,10,2,3,7,0.02,0.22,0.03
11,Rye (straw),1.5 tons,15,8,25,8,2,3,0.01,0.14,0.07
12,Soybean (grain),50 bu,188,41,74,19,10,23,0.05,0.06,0.05
13,Soybean (stover),3 tons,89,16,74,30,9,12,-,-,-
14,Wheat (grain),60 bu,70,20,25,2,10,4,0.04,0.10,0.16
15,Wheat (straw),2.5 tons,45,5,65,8,12,15,0.01,0.16,0.05
16,Tobacco (burley),2 tons,145,14,150,--,18,24,-,-,-
