,0,1,2
0,Table 503-43,Potential adverse environmental and health impacts of N,Potential adverse environmental and health impacts of N
1,Impact,Impact,Causative agents
2,Human health,Human health,
3,Methemoglobinemia in infants,Methemoglobinemia in infants,Excess nitrate (NO 3 - ) and nitrite (NO 2 - ) in water and food
4,Cancer,Cancer,"Nitrosamines from NO 2 - , secondary amines"
5,Respiratory Illness,Respiratory Illness,"Peroxyacyl nitrates, alkyl nitrates, NO 3 - aerosols, NO 2 - , HNO 3 vapor in urban atmo- spheres"
6,Animal health,Animal health,
7,Environment,Environment,Excess NO 2 - in feed and water
8,Eutrophication,Eutrophication,Inorganic and organic nitrogen in surface waters
9,Materials and ecosystem damage,Materials and ecosystem damage,HNO 3 aerosols in rainfall
10,Plant toxicity,Plant toxicity,High levels of NO 2 - in soils
11,Excessive plant growth,Excessive plant growth,Excessive available N
12,Stratospheric ozone depletion,Stratospheric ozone depletion,"Nitrous oxide from nitrification, denitrification , stack emissions"
