,Crop,Critical period,Comments
0,"Peas, dry",At start of flowering and when pods are swelling,
1,"Peas, green",Blossom through harvest,
2,Peppers,At flowering stage and when peppers are swell- ing,
3,Potato,Flowering and tuber formation to harvest,Low-quality tubers result if moisture stress during tuber development and growth
4,Radish,During period of root enlargement,Hot radishes can be the result of moisture stress
5,Sunflower,Flowering to seed development,
6,"Sorghum, grain","Secondary rooting and tillering to boot stage, heading, flowering, and grain formation through filling",
7,Soybeans,Flowering and fruiting stage,
8,Strawberries,Fruit development through harvest,
9,Sugar beets,"At time of plant emergence, following thinning, and 1 month after emergence",Temporary leaf wilt on hot days is common even with adequate soil water content
10,Sugarcane,During period of maximum vegetative growth,
11,Tobacco,Knee high to blossoming,
12,Tomatoes,"When flowers are forming, fruit is setting, and fruits are rapidly enlarging",
13,Turnips,When size of edible root increases rapidly up to harvest,Strong tasting turnips can be the result of moisture stress
14,Vine crops,Blossom through harvest,
15,Watermelon,Blossom through harvest,
