,Subpart 506A,Vegetative stabilization,Vegetative stabilization,506-1
0,,506.00,Structures..............................................................................................506-1,
1,,506.01,General considerations........................................................................506-1,
2,,,(a) Plants...............................................................................................506-1,
3,,,(b) Soil...................................................................................................506-1,
4,,,(c) Water and wind management.......................................................506-1,
5,,,(d) Land use..........................................................................................506-1,
6,,,(e) Geology ...........................................................................................506-1,
7,,,(f) Existing vegetation........................................................................506-2,
8,,,(g) Present and proposed use.............................................................506-2,
9,,,(h) Climate ............................................................................................506-2,
10,,,(i) Shade tolerance..............................................................................506-2,
11,,,(j) Site preparation..............................................................................506-2,
12,,506.02,Seeding and planting process.............................................................506-2,
13,,,(a) Seedbed preparation .....................................................................506-2,
14,,506.03,"Seed, plant, and amendment application rates ................................506-3",
15,,,(a) Seed and plant rates ......................................................................506-3,
16,,,"(b) Seed or plant specifications, or both...........................................506-3",
17,,,(c) Time of seeding or planting..........................................................506-3,
18,,,(d) Soil amendments............................................................................506-3,
19,,,(e) Method of seeding or planting......................................................506-4,
20,,506.04,Disturbed land ......................................................................................506-5,
21,,,(a) Planning principles........................................................................506-5,
22,,,(b) Unique critical areas......................................................................506-6,
23,Subpart 506B,Suitability for crop production systems,Suitability for crop production systems,506-7
24,,506.20,Suitability for crop production...........................................................506-7,
25,,,(a) Variety or hybrid performance characteristics ..........................506-7,
26,,,(b) After harvest seedbed characteristics for the next ...................506-8 crop in the rotation,
27,,506.21,References.............................................................................................506-9,
