Loess soil,"Material transported and deposited by wind, consisting predominantly of silt-sized particles."
LS factor,"The RUSLE factor that accounts for the combined effects of length and steepness of slope on soil loss. The factor value represents the ratio of soil loss on a given slope length and steepness to soil loss from a slope that has a length of 72.6 feet and a steepness of 9 percent, where all other conditions are the same."
Management period,A period of time during a cropping sequence when cover and management effects are approximately uniform or otherwise result in uniform rates of erosion during the period.
Mineral soil,"A soil composed mainly of, and having its properties determined by, miner- al matter, with less than 20 percent organic matter. Compare Organic soil."
Mineralization,The conversion of an element from an organic form to an inorganic state as a result of microbial activity.
Mulch,"Any material such as straw, sawdust, leaves, plastic film, loose soil, or similar material that is spread or formed upon the surface of the soil to protect the soil and/or plant roots from the effects of raindrops, soil crust- ing, freezing, evaporation, etc."
Mulch tillage,"Managing the amount, orientation, and distribution of crop and other plant residue on the soil surface year-round, while growing crops where the entire field surface is tilled prior to planting."
Nitrogen cycle,"The continuous process by which nitrogen circulates among the air, soil, water, plants, and animals of the earth. Nitrogen in the atmosphere is converted by bacteria into forms that green plants can absorb from the soil; animals eat these plants (or eat other animals that feed on the plants); the animals and plants die and decay; the nitrogenous substances in the decomposed organic matter return to the atmosphere and the soil."
No-till/Strip till,"Managing the amount, orientation and distribution of crop and other plant residues on the soil surface year-round, while growing crops in narrow slots, or tilled or residue free strips in soil previously untilled by full-width inversion implement"
Northwestern Wheat and Range Region (NWRR),"Areas of non-irrigated cropland in the Pacific Northwest and mountainous regions of the west. It includes portions of eastern Washington, north cen- tral Oregon, northern and southeastern Idaho, western Montana, western Wyoming, northern Utah and northern California. Rainfall and erosion processes in this region are dominated by winter events."
Organic farming,"A crop production system that reduces, avoids or largely excludes the used of synthetically-produced fertilizers, pesticides, growth regulators and livestock feed additives."
Organic soil,A soil that contains a high percentage (greater than 20 percent) of organic matter throughout the solum. Compare Mineral soil
Oven-dry weight,"The weight of a substance after it has been dried in an oven at 105 ° C, to equilibrium."
