0,1
Relative field erodibility,"An index of relative erodibility under field conditions. Wind tunnel erod- ibility is adjusted for the effect of unsheltered distance and of the resis- tance of soil textural classes to breakdown of surface crusts by abrasion and avalanching. Compared to the wind tunnel, erodibility of a field sur- face is greater because the longer unsheltered distance allows abrasion and avalanching to occur."
Ridge roughness,The degree of oriented roughness determined by the height and width of ridges formed by tillage and planting implements. Ridges provide shel- tered zones that trap moving soil particles.
Rill,"A small, intermittent water course with steep sides; usually only several centimeters deep."
Rhizobia,"Bacteria able to live symbiotically in roots of leguminous plants, from which they receive energy and often utilize molecular nitrogen. Collective common name for the genus Rhizobium."
Runoff,"That portion of precipitation or irrigation on an area which does not infil- trate, but instead is discharged from the area."
Revised Universal Soil Loss Equation version 2 (RUSLE2),"An empirical model that predicts long-term average annual soil loss for a given set of climatic conditions, on a defined land slope, and under a speci- fied cropping and tillage management system. RUSLE is an update of the USLE, and contains a computer program to facilitate calculations."
Saline seep,"Intermittent or continuous saline water discharge at or near the soil sur- face under dryland conditions that reduces or eliminates crop growth. It is differentiated from other saline soil conditions by recent and local origin, shallow water table, saturated root zone, and sensitivity to cropping sys- tems and precipitation."
Saline soil,"A nonsodic soil containing sufficient soluble salt to adversely affect the growth of most crop plants. The lower limit of saturation extract electri- cal conductivity of such soils is conventionally set at 4 dS m-1 (at 25 °C). Actually, sensitive plants are affected at half this salinity and highly toler- ant ones at about twice this salinity."
Saltation,Soil movement in wind where particles skip or bounce along the soil sur- face in response to wind forces. Particles in the size range from 0.1 to 0.5 mm(0.004 to 0.02 in) usually move in this manner.
Salt-affected soil,"Soil that has been adversely modified for the growth of most crop plants by the presence of soluble salts, with or without high amounts of ex- changeable sodium."
Salt tolerance,"The ability of plants to resist the adverse, nonspecific effects of excessive soluble salts in the rooting medium."
Sapric organic soil materials,"The most highly decomposed of the organic materials, having the high- est bulk density, least amount of plant fiber, and lowest water content at saturation."
Seasonally variable K factor,The average annual soil erodibility K factor value that has been adjusted to reflect the temporal variability associated with freezing and thawing or wetting and drying cycles during the year.
Sheet erosion,A form of water erosion in which a very thin layer is removed from the soil surface by detachment and overland flow.
