Figure 503-35,Illustration of the relationship between soil test level and nutrient recommendations,503-88
Figure 503-36,Relative levels of nitrate-N versus corn N uptake soil in corn fields with different manage- ment systems,503-89
Figure 503-37,"Pre-sidedress Soil Nitrate Test calibration data from Pennsylvania, Maryland, and Delaware combined",503-90
Figure 503-38,Chlorophyll meter nitrogen test,503-91
Figure 503-39,Critical source areas are locations where a high source of P coincides with high potential for transport of the P,503-93
Figure 503-40,The Pennsylvania Phosphorus Index,503-94
Figure 503-41,Relationship between plant response (yield) and plant analysis level,503-96
Figure 503-42,Simple nitrogen cycle,503-102
Figure 503-43,Simple P cycle,503-103
Figure 503-44,Counting residue pieces along a line transect,503-128
Figure 503-45,Relationship of residue weight to percent residue cover for various crops,503-128
