Disease,Responsible organism,Disease,Responsible organism
Bacterial,,Viral,
Salmonella,Salmonella sp.,New Castle,Virus
Leptospirosis,Leptospiral pomona,Hog Cholera,Virus
Anthrax,Bacillus anthracis,Foot and Mouth,Virus
Tuberculosis,Mycobacterium tuberculosis Mycobacterium avium,Psittacosis,Virus
Johnes disease,Mycobacterium paratuberculosis,Fungal Coccidioidomycosis Histoplasm capsulatum,Coccidioides immitus
Brucellosis,Brucella abortus Brucella melitensis Brucella suis Histoplasmosis,Ringworm,Various microsporum and trichophyton
Listerosis,Listeria monocytogenes,Protozoal,
Tetanus,Clostridium tetani,Coccidiosis,Eimeria sp.
Tularemia,Pasturella tularensis,Balantidiasis,Balatidium coli
Erysipelas,Erysipelothrix rhusiopathiae,Toxoplasmosis,Toxoplasma sp.
Colibacilosis,E. coli (some serotypes),,
Coliform mastitis-metritis,E. coli (some serotypes),Parasitic,
,,Ascariasis,Ascaris lumbricoides
Rickettsial,,Sarcocystiasis,Sarcocystis sp.
Q fever,Coxiella burneti,,
