Effective precipitation,That portion of the total rainfall precipitation which becomes available for plant growth.
Electrical conductivity (ECe),"The electrical conductance of an extract from a soil saturated with dis- tilled water, normally expressed in units of siemens or decisiemens per meter at 25 ° C."
Ephemeral gully erosion,Erosion that occurs from the action of runoff water which concentrates in shallow flow channels when rills converge. These flow channels are alternately filled with soil by tillage operations and re-formed in the same general location by subsequent runoff events.
Erodibility,"The susceptibility of soil to erode. Soils with low erodibility include fine textured soils high in clay that are resistant to detachment, and coarse tex- tured soils high in sand that have low runoff. Soils having a high silt con- tent are highly susceptible to erosion. The K factor in RUSLE expresses the erodibility of soil."
Erosive wind energy,The capacity of winds above the threshold velocity to cause erosion. Ero- sive wind energy is a function of the cube of wind speed and the duration of erosive winds.
Erosive wind energy distribution,The distribution of erosive wind energy over time at any geographic loca- tion.
Erosivity,The energy (amount) and intensity of rainstorms that cause soil to erode. Erosivity includes the effects of raindrop impact on the soil and the amount and rate of runoff likely to be associated with the rain.
Evapotranspiration,"The combined loss of water from a given area, and during a specified period of time, by evaporation from the soil surface and by transpiration from plants."
Eutrophication,"A process that increases the amount of nutrients, especially nitrogen and phosphorus, in a marine or aquatic ecosystem. Eutrophication occurs naturally over geological time but may be accelerated by human activities, such as waste disposal or land drainage, leading to an increase in algae and a decrease in diversity."
Fallow,"The practice of leaving land uncropped, either weed-free or with volun- teer vegetation, during at least one period when a crop would normally be grown; done to control weeds, or accumulate water or available plant nutrients."
"Fertility, soil",The quality of a soil that enables it to provide nutrients in adequate amounts and in proper balance for the growth of specified plants or crops.
Fertilizer,Any organic or inorganic material of natural or synthetic origin (other than liming materials) that is added to a soil to supply one or more plant nutri- ents essential to the growth of plants.
Fertilizer analysis,"The percent composition of a fertilizer as determined in a laboratory and expressed as total N, available phosphoric acid (P 2 O 5 ) equivalent, and water-soluble potash (K 2 O) equivalent."
Fibric organic soil materials,The least decomposed of all the organic soil materials containing very high amounts of fiber that are well preserved and readily identifiable as to botanical origin.
