0,1
Small grain equivalent (SGe),"The wind erosion control equivalent of vegetative cover, compared to a small grain standard. The standard (reference condition) is defined as small grain stalks 10 inches long lying flat on the soil surface in 10-inch rows which are perpendicular to the wind direction, with stalks oriented parallel to the wind direction. The small grain equivalent value is a func- tion of kind, amount, and orientation of growing plants or plant residues on the soil surface."
Soil erodibility index (I),"The potential soil loss, in tons per acre per year, from a wide, level, unshel- tered, isolated field with a bare, smooth, loose, and non-crusted surface, under climatic conditions like those in the vicinity of Garden City, Kansas."
Soil loss tolerance (T),The average annual soil erosion rate (tons/acre/year) that can occur in a field with little or no long-term degradation of the soil resource thus per- mitting crop productivity to be sustained for an indefinite period of time.
Soil surface moisture,"Adsorbed water films surrounding surface soil particles that increase the soil resistance to erosion. In developing the climatic factor, soil surface moisture is assumed to be proportional to the Thornthwaite Precipitation- Effectiveness (P-E) Index."
Sorting,Separation of various size classes of soil particles or aggregates during wind erosion. Soils tend to become coarser in response to continued sort- ing by erosion.
Sprigging,"Vegetative establishment of herbaceous species using stolons, rhizomes, or tillers with soil. Vegetative material may be broadcast and then lightly covered with soil, or planted using a sprigging implement."
Stable border,"A stable border defines the upwind boundary of an isolated field. It is an area with sufficient protection to prevent saltation from starting, and capa- ble of trapping and holding incoming saltation from eroding areas upwind, thus preventing saltating soil particles from entering areas downwind."
Stripcropping,The practice of growing two or more crops in alternating strips along con- tours to control erosion.
Surface armor,A layer of coarse fragments or other non-erodible particles resistant to abrasion that remain on the soil surface after the removal of fine particles by erosion.
Surface creep,"Soil movement by wind in which the coarser fractions are transported by rolling and sliding along the ground surface, primarily by the impact of particles in saltation rather than by direct force of the wind. Particles greater than 0.5 mm(0.02 in) in size are usually moved in this manner."
Suspension,Soil movement in wind whereby the finer fractions are transported over long distances floating in the windstream. Suspension is usually initiated by the impact of saltating particles. Particles moving in this manner are usually less than 0.1 mm(0.004 in) in size. Many suspension-size particles are created by abrasion during erosion.
Threshold velocity,"The minimum velocity at which wind will begin moving soil particles from a smooth, bare, non-crusted surface. The threshold velocity is usually considered to be 13 mph at 1 foot above the soil surface, or 18 mph at 30 feet height."
