Water erosion,"The detachment, transport, and deposition of soil particles by rainfall and runoff."
Water table,The upper surface of ground water or that level in the ground where the water is at atmospheric pressure.
Wide field,"Any field with sufficient width to allow the rate of soil flow to reach the maximum that an erosive wind can sustain. This distance is the same for any erosive wind. It varies only and inversely with erodibility of the field surface. That is, the more erodible the surface, the shorter the distance in which maximum flow is reached."
Windbreak,"A living barrier of trees or combination of trees and shrubs designed to reduce wind erosion, conserve energy or moisture, control snow deposi- tion, or provide shelter for livestock or wildlife. When used to control wind erosion, windbreaks deflect wind forces and reduce wind velocity in the downwind sheltered zone below the threshold required for initiation of soil movement."
Wind erodibility group,A grouping of soils that have similar properties affecting their resistance to wind erosion.
Wind erosion,"The detachment, transport, and deposition of soil by wind."
Wind erosion direction factor,"A numerical factor used to calculate the equivalent unsheltered distance. The factor accounts for field shape (length/width ratio), field width, pre- ponderance, and angle of deviation of the prevailing wind erosion direc- tion from a line perpendicular to the long side of the field or strip."
Wind erosion equation (WEQ),An equation used to estimate wind erosion and design wind erosion con- trol systems. E=(IKCLV) where E is the average annual soil loss expressed in tons per acre per year; I is the soil erodibility; K is the soil ridge rough- ness factor; C is the climatic factor; L is the equivalent unsheltered dis- tance across the field along the prevailing wind erosion direction; and V is the equivalent vegetative cover.
Wind stripcropping,A method of farming whereby erosion-resistant crop strips are alternated with strips of erosion-susceptible crops or fallow. Erosion-resistant strips reduce or eliminate saltation and act as soil traps designed to reduce soil avalanching. Strips are perpendicular or nearly so to the direction of ero- sive winds.
Wind tunnel,A duct in which experimental situations are created and tested by ex- posure to air streams under controlled conditions. Both laboratory and portable field wind tunnels are used in wind erosion research.
Yield,"The amount of a specified substance produced (e.g., grain, straw, total dry matter) per unit area."
