Manure type,Ca,Mg,S,Na,Fe,Mn,B,Mo,Zn,Cu
Layer,,,,,,,,,,
Undercage scraped,43.0,6.1,7.1,4.5,0.5,0.27,0.05,<0.01,0.32,0.04
Highrise stored,86.0,6.0,8.8,5.0,1.8,0.52,0.05,<0.01,0.37,0.04
Broiler litter,,,,,,,,,,
Broiler house,41.0,8.0,15.0,13.0,1.3,0.67,0.05,<0.01,0.63,0.45
Roaster house,43.0,8.5,14.0,13.0,1.6,0.74,0.05,<0.01,0.68,0.51
Breeder house,94.0,6.8,8.5,8.6,1.3,0.57,0.04,<0.01,0.52,0.21
Stockpiled,54.0,8.0,12.0,6.2,1.5,0.59,0.04,<0.01,0.55,0.27
Turkey litter,,,,,,,,,,
Brooder house,28.0,5.7,7.6,5.9,1.4,0.52,0.05,<0.01,0.46,0.36
Grower house,42.0,7.0,10.0,8.4,1.3,0.65,0.05,<0.01,0.64,0.51
Stockpiled,42.0,6.8,9.5,6.4,1.5,0.62,0.05,<0.01,0.56,0.34
Layer,,,,,,,,,,
Liquid slurry,35.0,6.8,8.2,5.3,2.9,0.42,0.01,0.02,0.43,0.08
Lagoon sludge,71.0,7.2,12.0,1.2,2.2,2.3,0.08,0.01,0.80,0.14
Layer,,,,,,,,,,
Lagoon liquid,25.0,7.4,52.0,51.0,2.0,0.24,0.4,0.02,0.70,0.19
