State,---------- Non-irrigated ---------------------.Year 1,---------- Non-irrigated ---------------------.Year 2,---------- Non-irrigated ---------------------.Year 3,---------- Non-irrigated ---------------------.Year 4,Year 1,Irrigated -----------.Year 2,Irrigated -----------.Year 3,Year 4
------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------,------------------------------------- K min -----------------------------------
PA,0.42,0.14,0.14,0.07,0.42,0.21,0.14,0.07
DE,0.42,0.14,0.14,0.07,0.42,0.21,0.14,0.07
MD,0.42,0.14,0.14,0.07,0.42,0.21,0.14,0.07
WV,0.42,0.14,0.14,0.07,0.42,0.21,0.14,0.07
VA,0.42,0.14,0.14,0.07,0.50,0.21,0.14,0.07
------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------,------------------------------------- E min ------------------------------------
PA,0.30,0.10,0.10,0.05,0.30,0.15,0.10,0.05
DE,0.30,0.10,0.10,0.05,0.30,0.15,0.10,0.05
MD,0.30,0.10,0.10,0.05,0.30,0.15,0.10,0.05
VA,0.30,0.10,0.10,0.05,0.35,0.15,0.10,0.05
WV,0.30,0.10,0.10,0.05,0.30,0.15,0.10,
